iata,icao,name,city,country,tz,lat,lon
ECP,KECP,Northwest Florida Beaches International Airport,Panama City Beach,US,America/Chicago,30.357106,-85.795414
EDW,KEDW,Edwards Air Force Base,Edwards,US,America/Los_Angeles,34.910781,-117.886391
EED,KEED,Needles Airport,Needles,US,America/Los_Angeles,34.7663002014,-114.623001099
EEN,KEEN,Dillant Hopkins Airport,Keene,US,America/New_York,42.898399,-72.270798
EFD,KEFD,Ellington Airport,Houston,US,America/Chicago,29.607299804700002,-95.1587982178
EGE,KEGE,Eagle County Regional Airport,Eagle,US,America/Denver,39.64260101,-106.9179993
EGI,KEGI,Duke Field,Crestview,US,America/Chicago,30.65040016,-86.52290344
EKA,KEKA,Murray Field,Eureka,US,America/Los_Angeles,40.803398,-124.112999
EKN,KEKN,Elkins-Randolph County Regional Airport,Elkins,US,America/New_York,38.889759,-79.857651
EKO,KEKO,Elko Regional Airport,Elko,US,America/Los_Angeles,40.82490158081055,-115.79199981689453
ELD,KELD,South Arkansas Regional Airport at Goodwin Field,El Dorado,US,America/Chicago,33.221001,-92.813301
ELM,KELM,Elmira Corning Regional Airport,Elmira/Corning,US,America/New_York,42.1599006652832,-76.8916015625
LYU,KELO,Ely Municipal Airport,Ely,US,America/Chicago,47.82450104,-91.83070374
ELP,KELP,El Paso International Airport,El Paso,US,America/Denver,31.809908,-106.375607
ELY,KELY,Ely Airport Yelland Field,Ely,US,America/Los_Angeles,39.29970169,-114.8420029
END,KEND,Vance Air Force Base,Enid,US,America/Chicago,36.339199,-97.916496
ENV,KENV,Wendover Airport,Wendover,US,America/Denver,40.7187004089,-114.03099823
ENW,KENW,Kenosha Regional Airport,Kenosha,US,America/Chicago,42.59569931,-87.92780304
ERI,KERI,Erie International Tom Ridge Field,Erie,US,America/New_York,42.083127,-80.173867
ESC,KESC,Delta County Airport,Escanaba,US,America/New_York,45.723199,-87.088623
ESF,KESF,Esler Army Airfield / Esler Regional Airport,Alexandria,US,America/Chicago,31.394266,-92.294082
EUG,KEUG,Eugene Airport,Eugene,US,America/Los_Angeles,44.124599,-123.211998
EVV,KEVV,Evansville Regional Airport,Evansville,US,America/Chicago,38.0369987488,-87.5324020386
EVW,KEVW,Evanston-Uinta County Airport-Burns Field,Evanston,US,America/Denver,41.27479935,-111.0350037
EWB,KEWB,New Bedford Regional Airport,New Bedford,US,America/New_York,41.67610168457031,-70.95690155029297
EWN,KEWN,Coastal Carolina Regional Airport,New Bern,US,America/New_York,35.0730018616,-77.04290008539999
EWR,KEWR,Newark Liberty International Airport,Newark,US,America/New_York,40.6894,-74.170545
EYW,KEYW,Key West International Airport,Key West,US,America/New_York,24.556119,-81.759579
FAF,KFAF,Felker Army Air Field,Newport News (Fort Eustis),US,America/New_York,37.1325,-76.608803
FAR,KFAR,Hector International Airport,Fargo,US,America/Chicago,46.9207,-96.815804
FAT,KFAT,Fresno Yosemite International Airport,Fresno,US,America/Los_Angeles,36.775767,-119.718018
FAY,KFAY,Fayetteville Regional Airport - Grannis Field,Fayetteville,US,America/New_York,34.991199,-78.880302
FBG,KFBG,Simmons Army Air Field,Fort Bragg,US,America/New_York,35.13180161,-78.93669891
FCS,KFCS,Butts AAF (Fort Carson) Air Field,Fort Carson,US,America/Denver,38.67839813,-104.7570038
FDY,KFDY,Findlay Airport,Findlay,US,America/New_York,41.013500213600004,-83.66870117190001
FFO,KFFO,Wright-Patterson Air Force Base,Dayton,US,America/New_York,39.826099,-84.048302
FRD,KFHR,Friday Harbor Airport,Friday Harbor,US,America/Los_Angeles,48.523654,-123.024645
FHU,KFHU,Sierra Vista Municipal Airport / Libby Army Air Field,Fort Huachuca / Sierra Vista,US,America/Phoenix,31.587383,-110.348225
FKL,KFKL,Venango Regional Airport,Franklin,US,America/New_York,41.3778991699,-79.8603973389
FLG,KFLG,Flagstaff Pulliam Airport,Flagstaff,US,America/Phoenix,35.139757,-111.669826
FLL,KFLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,US,America/New_York,26.072599,-80.152702
FLO,KFLO,Florence Regional Airport,Florence,US,America/New_York,34.18539810180664,-79.7238998413086
FME,KFME,Fort Meade Executive Airport,Fort Meade(Odenton),US,America/New_York,39.0854,-76.759399
FMN,KFMN,Four Corners Regional Airport,Farmington,US,America/Denver,36.741199,-108.230003
FMY,KFMY,Page Field,Fort Myers,US,America/New_York,26.58659935,-81.86329650879999
